Date,Mean Temperature,PM10,SO2
2020-09-07,22.5,14.14,4.17
2020-09-08,22.5,16.38,3.51
2020-09-09,21.0,16.41,3.07
2020-09-10,21.5,14.8,3.27
2020-09-11,23.0,16.71,3.33
2020-09-12,25.5,19.5,3.29
2020-09-13,26.0,24.25,3.63
2020-09-14,23.5,20.65,3.71
2020-09-15,24.5,20.91,3.47
2020-09-16,22.5,22.97,3.36
2020-09-17,25.0,25.33,4.59
2020-09-18,23.0,22.33,3.95
2020-09-19,17.5,16.88,3.33
2020-09-20,18.5,16.33,3.48
2020-09-21,19.5,15.33,3.51
2020-09-22,20.5,16.67,3.58
2020-09-23,20.5,13.5,3.14
2020-09-24,21.5,14.93,3.56
2020-09-25,23.5,18.88,3.37
2020-09-26,22.5,12.15,3.5
2020-09-27,24.5,11.81,3.63
2020-09-28,22.0,17.79,3.41
2020-09-29,23.5,22.5,3.33
2020-09-30,24.5,16.73,3.22
2020-10-01,22.0,7.57,3.09
2020-10-02,20.0,6.22,3.15
2020-10-03,17.5,10.16,3.27
2020-10-04,17.5,11.54,3.29
2020-10-05,15.0,11.42,3.26
2020-10-06,18.0,9.86,3.66
2020-10-07,18.5,6.73,3.54
2020-10-08,19.5,8.6,3.56
2020-10-09,22.5,12.04,3.34
2020-10-10,23.0,15.25,3.38
2020-10-11,20.0,16.06,3.54
2020-10-12,22.0,27.84,3.75
2020-10-13,24.0,22.73,3.79
2020-10-14,23.0,21.98,3.74
2020-10-15,18.5,27.46,3.48
2020-10-16,20.5,26.66,3.7
2020-10-17,21.0,21.92,3.87
2020-10-18,21.5,21.8,4.05
2020-10-19,18.0,25.13,4.09
2020-10-20,15.0,8.5,4.02
2020-10-21,15.5,9.61,4.3
2020-10-22,16.5,9.88,4.39
2020-10-23,17.0,15.21,4.31
2020-10-24,19.5,14.67,4.44
2020-10-25,19.0,17.55,4.71
2020-10-26,18.5,23.71,5.08
2020-10-27,19.0,31.85,6.11
2020-10-28,20.0,35.49,5.6
2020-10-29,21.0,34.74,5.98
2020-10-30,19.0,35.57,5.23
2020-10-31,20.0,38.47,5.3
2020-11-01,20.0,41.11,5.2
2020-11-02,13.5,20.04,4.84
2020-11-03,13.5,27.47,4.97
2020-11-04,14.5,25.05,5.77
2020-11-05,16.0,20.17,6.01
2020-11-06,12.0,20.0,5.34
2020-11-07,9.5,18.78,5.95
2020-11-08,11.5,21.48,6.71
2020-11-09,12.5,21.4,8.38
2020-11-10,9.0,32.59,8.53
2020-11-11,9.5,31.03,6.89
2020-11-12,12.0,24.76,7.95
2020-11-13,10.5,26.31,9.9
2020-11-14,10.5,25.29,10.69
2020-11-15,8.0,30.53,9.84
2020-11-16,8.5,33.87,10.02
2020-11-17,9.0,33.67,8.77
2020-11-18,8.0,32.72,9.43
2020-11-19,7.0,21.53,9.2
2020-11-20,9.0,25.32,11.23
2020-11-21,6.5,19.04,8.43
2020-11-22,8.5,24.4,9.36
2020-11-23,5.0,18.67,8.14
2020-11-24,6.5,25.14,12.48
2020-11-25,5.0,44.67,14.09
2020-11-26,6.0,26.77,9.31
2020-11-27,7.0,28.96,10.75
2020-11-28,7.5,23.02,11.93
2020-11-29,8.0,37.8,15.84
2020-11-30,8.0,35.54,16.64
2020-12-01,8.0,47.0,18.79
2020-12-02,9.5,47.01,18.77
2020-12-03,13.0,42.84,16.1
2020-12-04,9.0,31.5,14.93
2020-12-05,8.5,35.61,13.93
2020-12-06,7.0,45.24,14.85
2020-12-07,6.5,31.54,12.62
2020-12-08,7.5,45.805,10.18
2020-12-09,6.5,60.07,12.14
2020-12-10,8.5,23.62,9.68
2020-12-11,7.5,28.19,8.67
2020-12-12,6.0,31.19,9.94
2020-12-13,10.5,36.35,12.8
2020-12-14,12.5,41.02,12.85
2020-12-15,11.5,44.92,15.89
2020-12-16,10.0,42.08,9.71
2020-12-17,6.0,8.75,6.57
2020-12-18,7.0,33.89,9.85
2020-12-19,4.5,28.93,12.07
2020-12-20,5.0,45.3,12.69
2020-12-21,5.5,34.53,14.14
2020-12-22,5.5,41.94,17.17
2020-12-23,2.0,9.61,7.54
2020-12-24,2.5,37.82,10.43
2020-12-25,2.0,25.03,11.3
2020-12-26,5.5,21.01,11.22
2020-12-27,6.0,29.42,15.79
2020-12-28,6.5,25.16,16.0
2020-12-29,7.0,29.89,17.53
2020-12-30,7.5,28.443333333333335,21.65
2020-12-31,8.0,26.996666666666666,18.04
2021-01-01,8.5,25.55,18.36
2021-01-02,7.0,38.02,19.7
2021-01-03,7.5,38.86,17.8
2021-01-04,9.0,22.46,10.2
2021-01-05,9.0,16.65,9.31
2021-01-06,7.5,41.83,18.67
2021-01-07,8.0,28.96,15.6
2021-01-08,7.5,31.39,17.28
2021-01-09,9.0,31.21,18.68
2021-01-10,10.0,52.04,21.17
2021-01-11,8.0,46.32,13.83
2021-01-12,10.5,53.25,15.19
2021-01-13,13.5,36.38,15.6
2021-01-14,9.5,21.14,10.75
2021-01-15,4.5,20.46,9.33
2021-01-16,4.0,15.62,9.49
2021-01-17,9.5,16.51,10.21
2021-01-18,1.5,10.79,8.12
2021-01-19,-1.0,12.09,9.21
2021-01-20,-1.0,18.56,10.18
2021-01-21,0.0,36.16,10.23
2021-01-22,0.5,13.81,9.84
2021-01-23,1.0,17.37,10.59
2021-01-24,2.0,24.97,14.66
2021-01-25,5.5,25.93,15.71
2021-01-26,7.5,32.1,17.08
2021-01-27,9.0,38.37,9.02
2021-01-28,10.5,40.44,11.71
2021-01-29,4.5,16.56,8.22
2021-01-30,6.5,23.22,7.27
2021-01-31,8.0,33.84,11.84
2021-02-01,10.5,20.7,8.21
2021-02-02,10.0,20.68,8.41
2021-02-03,9.5,28.59,12.9
2021-02-04,10.0,36.72,12.97
2021-02-05,6.0,34.92,9.45
2021-02-06,7.5,21.49,9.61
2021-02-07,9.5,43.09,16.58
2021-02-08,12.0,42.82,16.77
2021-02-09,14.0,25.24,10.35
2021-02-10,11.5,32.46,10.3
2021-02-11,9.0,38.69,9.43
2021-02-12,6.5,23.8,6.07
2021-02-13,4.0,9.5,7.27
2021-02-14,6.5,29.41,9.93
2021-02-15,4.5,27.72,9.23
2021-02-16,2.0,6.43,6.1
2021-02-17,-1.0,6.58,6.0
2021-02-18,-0.5,15.19,7.24
2021-02-19,0.5,19.69,8.67
2021-02-20,1.3333333333333335,12.52,6.67
2021-02-21,2.166666666666667,21.83,8.41
2021-02-22,3.0,25.61,12.01
2021-02-23,4.5,39.34,13.05
2021-02-24,3.0,11.39,5.81
2021-02-25,3.0,13.16,7.94
2021-02-26,5.0,20.35,8.5
2021-02-27,6.5,29.73,11.15
2021-02-28,7.0,22.15,9.81
2021-03-01,2.5,10.45,6.21
